st_rad,st_raerr,st_disterr1,st_masserr2,st_teffn,st_distn,pl_orbinclerr2,pl_bmassprov,pl_ttvflag,pl_orbeccenn,st_disterr2,ra_str,st_raderr2,pl_discmethod,pl_orbincllim,gaia_gmaglim,pl_bmassjlim,pl_orbperlim,pl_denslim,pl_bmassj,pl_orbsmaxlim,pl_dens,pl_denserr2,pl_radjlim,st_tefferr2,gaia_gmagerr,pl_orbsmaxerr1,st_tefflim,st_radn,pl_orbpererr1,pl_orbpererr2,pl_orbper,pl_orbeccenlim,rowupdate,pl_radj,pl_radn,pl_orbeccen,pl_orbsmaxerr2,pl_bmassn,pl_orbincl,st_decerr,st_posn,pl_letter,pl_hostname,pl_orbeccenerr2,pl_radjerr1,st_teff,pl_bmassjerr1,st_radlim,pl_orbincln,pl_orbinclerr1,pl_kepflag,pl_orbeccenerr1,st_massn,st_masslim,ra,dec_str,st_raderr1,st_optmaglim,pl_orbsmaxn,st_optmag,pl_pnum,st_dist,pl_nnotes,gaia_gmag,pl_orbsmax,pl_facility,st_optband,st_masserr1,pl_bmassjerr2,pl_controvflag,st_tefferr1,pl_densn,st_mass,st_distlim,pl_k2flag,st_optmagerr,pl_name,pl_orbpern,pl_radjerr2,dec,pl_denserr1
0.37,,,-0.05,,,,Mass,,,,,-0.01,,,,0,,0,24.50000,0,30.400000,,0,-50.00,,6.000000,0,,,,,,,1.000,,,-6.000000,,,,,b,,,,3530.00,2.50000,0,,,,,,0,20.7128012,,0.01,,,,,,0,,52.000000,,,0.05,-2.50000,,50.00,,0.40,,,,2MASS J01225093-2439505 b,,,-24.6646128,
0.28,,,-0.01,,,,Mass,,,,,-0.01,,,,0,,0,13.90000,0,5.770000,,0,-76.00,,10.000000,0,,,,,,,1.440,,,-10.000000,,,,,b,,,0.030,3064.00,1.10000,0,,,,,,0,34.8427046,,0.01,,,,,,0,,156.000000,,,0.01,-1.10000,,76.00,,0.11,,,,2MASS J02192210-3925225 b,,-0.030,-39.4230767,
0.23,,,,,,,Mass,,,,,-0.01,,,,0,,0,7.50000,0,6.550000,,0,-182.00,,,0,,,,,,,1.130,,,,,,,,b,,,,2936.00,2.50000,0,,,,,,0,70.4371079,,0.01,,,,,,0,,15.000000,,,,-2.50000,,182.00,,0.02,,,,2MASS J04414489+2301513 b,,,23.0308544,
0.22,,,,,,,Mass,,,,,-0.01,,,,0,,0,5.00000,0,4.070000,,0,-157.00,,,0,,,,,,,1.150,,,,,,,,b,,,,2825.00,2.00000,0,,,,,,0,181.8890906,,0.01,,,,,,,,55.000000,,,,-2.00000,,157.00,,0.02,,,,2MASS J12073346-3932539 b,,,-39.5484399,
0.20,,,,,,,Mass,,,,,0.00,,,,0,0,0,1.90000,0,1.380000,,0,,,0.020000,0,,4.00000000,-4.00000000,406.00000000,0,,1.200,,0.330000,-0.020000,,,,,b,,-0.050000,,29564.00,0.10000,0,,,,0.050000,,0,294.6359173,,0.00,,,,,,1,,0.920000,,,,-0.10000,,,,0.48,,,,2MASS J19383260+4603591 b,,,46.0664076,
0.64,,,-0.05,,,,Mass,,,,,-0.06,,,,0,,0,12.50000,0,11.700000,,0,-35.00,,20.000000,0,,,,,,,1.100,,,-20.000000,,,,,b,,,,4045.00,1.50000,0,,,,,,0,339.1025931,,0.06,,,,,,2,,230.000000,,,0.05,-1.50000,,35.00,,0.60,,,,2MASS J22362452+4751425 b,,,47.8616830,
1.41,,,-0.27,,,,Msini,,,,,-0.05,,,,0,0,0,13.82000,0,13.000000,,0,-61.00,,0.020000,0,,2.50000000,-2.50000000,335.10001000,0,,1.100,,0.290000,-0.020000,,,,,b,,-0.090000,,6331.00,1.80000,0,,,,0.090000,,0,39.2412736,,0.05,,,,,,5,,0.990000,,,0.27,-1.80000,,61.00,,1.93,,,,30 Ari B b,,,24.6480103,
18.11,,,-0.15,,,,Msini,,,,,-1.47,,,,0,0,0,7.90200,0,6.900000,,0,-70.00,,0.001000,0,,0.24000000,-0.09000000,270.27000000,0,,1.120,,0.453000,0.000000,,,,,b,,-0.036000,,4415.00,0.19900,0,,,,0.021000,,0,130.0528099,,1.47,,,,,,0,,0.877000,,,0.15,-0.37800,,70.00,,1.23,,,,4 UMa b,,,64.3280504,
22.03,,,-0.05,,,,Msini,,,,,-1.00,,,,0,0,0,3.88000,0,3.080000,,0,-70.00,,0.010000,0,,6.20000000,-6.20000000,479.10000000,0,,1.160,,0.380000,-0.010000,,,,,b,,-0.060000,,4200.00,0.85000,0,,,,0.060000,,0,276.4975053,,1.00,,,,,,1,,1.190000,,,0.05,-0.85000,,70.00,,0.98,,,,42 Dra b,,,65.5633652,
1.21,,,-0.14,,,,Msini,,,,,-0.06,,,,0,0,0,2.53000,0,1.920000,,0,-113.53,,0.020000,0,,2.00000000,-2.00000000,1078.00000000,0,,1.180,,0.032000,-0.020000,,,,,b,,-0.014000,,5872.00,0.07000,0,,,,0.014000,,0,164.8647611,,0.04,,,,,,,,2.100000,,,0.13,-0.06000,,92.94,,1.06,,,,47 UMa b,,,40.4304931,
1.21,,,-0.14,,,,Msini,,,,,-0.06,,,,0,0,0,0.54000,0,0.329000,,0,-113.53,,0.100000,0,,100.00000000,-87.00000000,2391.00000000,0,,1.270,,0.098000,-0.100000,,,,,c,,-0.096000,,5872.00,0.06600,0,,,,0.047000,,0,164.8647611,,0.04,,,,,,,,3.600000,,,0.13,-0.07300,,92.94,,1.06,,,,47 UMa c,,,40.4304931,
1.21,,,-0.14,,,,Msini,,,,,-0.06,,,,0,0,0,1.64000,0,1.160000,,0,-113.53,,2.100000,0,,4018.00000000,-5095.00000000,14002.00000000,0,,1.200,,0.160000,-2.900000,,,,,d,,-0.160000,,5872.00,0.29000,0,,,,0.090000,,0,164.8647611,,0.04,,,,,,,,11.600000,,,0.13,-0.48000,,92.94,,1.06,,,,47 UMa d,,,40.4304931,
1.49,,,-0.05,,,-7.000,Mass,,,,,-0.06,,0,,0,0,0,2.00000,0,1.450000,,0,-98.99,,0.200000,0,,6209.25000000,-3287.25000000,11688.00000000,0,,1.190,,0.450000,-0.200000,,133.000,,,b,,-0.150000,,7295.00,,0,,14.000,,0.100000,,0,69.4007424,,0.05,,,,,,5,,13.200000,,,0.05,,,120.09,,1.75,,,,51 Eri b,,,-2.4738245,
1.18,,,-0.09,,,-19.000,Mass,,,,,-0.04,,0,,0,0,0,0.46000,0,0.275000,,0,-119.62,,0.003000,0,,0.00003600,-0.00003600,4.23078500,0,,1.270,,0.013000,-0.003000,,80.000,,,b,,-0.012000,,5758.00,0.06000,0,,10.000,,0.012000,,0,344.3675399,,0.07,,,,,,1,,0.052700,,,0.17,-0.01000,,101.62,,1.03,,,,51 Peg b,,,20.7690958,
0.94,,,-0.02,,,-24.540,Mass,,,,,-0.01,,0,,0,0,0,0.83060,0,0.540000,,0,-18.00,,0.000600,0,,0.00010000,-0.00010000,14.65160000,0,,1.240,,0.000000,-0.000600,,89.730,,,b,,-0.010000,,5172.00,0.00330,0,,24.490,,0.010000,,0,133.1468373,,0.01,,,,,,4,,0.113400,,,0.02,-0.00330,,18.00,,0.91,,,,55 Cnc b,,,28.3298154,
0.94,,,-0.02,,,-24.540,Mass,,,,,-0.01,,0,,0,0,0,0.17140,0,0.486000,,0,-18.00,,0.001300,0,,0.00420000,-0.00430000,44.39890000,0,,0.760,,0.030000,-0.001300,,89.730,,,c,,-0.020000,,5172.00,0.00550,0,,24.490,,0.020000,,0,133.1468373,,0.01,,,,,,4,,0.237300,,,0.02,-0.00550,,18.00,,0.91,,,,55 Cnc c,,,28.3298154,
0.94,,,-0.02,,,-24.540,Mass,,,,,-0.01,,0,,0,0,0,3.87800,0,3.080000,,0,-18.00,,0.074000,0,,93.80000000,-88.60000000,5574.20000000,0,,1.160,,0.130000,-0.071000,,89.730,,,d,,-0.020000,,5172.00,0.06800,0,,24.490,,0.020000,,0,133.1468373,,0.01,,,,,,4,,5.957000,,,0.02,-0.06800,,18.00,,0.91,,,,55 Cnc d,,,28.3298154,
0.94,,,-0.02,,,-0.440,Mass,,,,,-0.01,,0,,0,0,0,0.02514,0,6.660000,-0.400000,0,-18.00,,0.000050,0,,0.00000130,-0.00000140,0.73654740,0,,0.167,,0.050000,-0.000050,,83.590,,,e,,-0.030000,0.003,5172.00,0.00101,0,,0.470,,0.030000,,0,133.1468373,,0.01,,,,,,6,,0.015440,,,0.02,-0.00104,,18.00,,0.91,,,,55 Cnc e,,-0.003,28.3298154,0.430000
0.94,,,-0.02,,,-24.540,Mass,,,,,-0.01,,0,,0,0,0,0.14100,0,0.563000,,0,-18.00,,0.004300,0,,0.29000000,-0.29000000,259.88000000,0,,0.677,,0.080000,-0.004400,,89.730,,,f,,-0.040000,,5172.00,0.01200,0,,24.490,,0.050000,,0,133.1468373,,0.01,,,,,,4,,0.770800,,,0.02,-0.01200,,18.00,,0.91,,,,55 Cnc f,,,28.3298154,
4.94,,,-0.21,,,,Msini,,,,,-0.50,,,,0,0,0,1.88100,0,1.370000,,0,,,0.003000,0,,1.92000000,-3.71000000,919.86000000,0,,1.200,,0.042000,-0.005000,,,,,b,,-0.032000,,4941.00,0.03800,0,,,,0.024000,,0,97.6960311,,0.55,,,,,,1,,2.028000,,,0.20,-0.08900,,,,1.32,,,,6 Lyn b,,,58.1611753,
0.96,,,-0.03,,,,Msini,,,,,-0.01,,,,0,0,0,0.01600,0,2.980000,,0,-33.00,,0.000005,0,,0.00060000,-0.00060000,4.21500000,0,,0.188,,0.120000,-0.000005,,,,,b,,-0.110000,,5577.00,0.00200,0,,,,0.110000,,0,199.5964550,,0.01,,,,,,,,0.050201,,,0.03,-0.00200,,33.00,,0.94,,,,61 Vir b,,,-18.3157745,
0.96,,,-0.03,,,,Msini,,,,,-0.01,,,,0,0,0,0.05700,0,1.130000,,0,-33.00,,0.000100,0,,0.03400000,-0.03400000,38.02100000,0,,0.398,,0.140000,-0.000100,,,,,c,,-0.060000,,5577.00,0.00300,0,,,,0.060000,,0,199.5964550,,0.01,,,,,,,,0.217500,,,0.03,-0.00300,,33.00,,0.94,,,,61 Vir c,,,-18.3157745,
0.96,,,-0.03,,,,Msini,,,,,-0.01,,,,0,0,0,0.07200,0,0.943000,,0,-33.00,,0.001000,0,,0.55000000,-0.55000000,123.01000000,0,,0.456,,0.350000,-0.001000,,,,,d,,-0.090000,,5577.00,0.00800,0,,,,0.090000,,0,199.5964550,,0.01,,,,,,,,0.476000,,,0.03,-0.00800,,33.00,,0.94,,,,61 Vir d,,,-18.3157745,
4.87,,,-0.12,,,,Msin(i)/sin(i),,,,,-0.14,,0,,0,0,0,1.85000,0,1.340000,,0,-55.00,,0.024000,0,,14.80000000,-1.00000000,735.10000000,0,,1.200,,0.060000,-0.001000,,90.000,,,b,,-0.030000,,4826.00,0.06000,0,,,,0.030000,,0,99.1712760,,0.17,,,,,,0,,1.758000,,,0.11,-0.06000,,45.00,,1.34,,,,7 CMa b,,,-19.2561808,
4.87,,,-0.12,,,,Msin(i)/sin(i),,,,,-0.14,,0,,0,0,0,0.87000,0,0.566000,,0,-55.00,,0.003000,0,,1.50000000,-52.40000000,996.00000000,0,,1.240,,0.080000,-0.080000,,90.000,,,c,,-0.040000,,4826.00,0.06000,0,,,,0.050000,,0,99.1712760,,0.17,,,,,,0,,2.153000,,,0.11,-0.06000,,45.00,,1.34,,,,7 CMa c,,,-19.2561808,
1.89,,,,,,,Mass,,,,,,,,,0,0,0,7.49000,0,6.540000,,0,,,0.022000,0,,0.00540000,-0.00540000,116.68800000,0,,1.130,,0.398800,-0.022000,,,,,b,,-0.001900,,5495.00,0.61000,0,,,,0.001900,,0,202.1064898,,,,,,,,,,0.481000,,,,-0.61000,,,,1.09,,,,70 Vir b,,,13.7763085,
10.38,,,-0.08,,,,Msini,,,,,-0.26,,,,0,0,0,2.47900,0,1.840000,,0,,,0.002000,0,,1.33000000,-1.69000000,696.62000000,0,,1.180,,0.093000,-0.003000,,,,,b,,-0.042000,,4809.00,0.07400,0,,,,0.026000,,0,38.0391598,,0.15,,,,,,1,,1.912000,,,0.07,-0.09000,,,,1.92,,,,75 Cet b,,,-1.0350269,
10.38,,,-0.08,,,,Msini,,,,,-0.26,,,,0,0,0,0.91200,0,0.593000,,0,,,0.058000,0,,45.98000000,-40.47000000,2051.62000000,0,,1.240,,0.023000,-0.052000,,,,,c,,-0.003000,,4809.00,0.08800,0,,,,0.191000,,0,38.0391598,,0.15,,,,,,1,,3.929000,,,0.07,-0.14300,,,,1.92,,,,75 Cet c,,,-1.0350269,
10.30,,,-0.19,,,,Msini,,,,,-0.57,,,,0,0,0,1.31000,0,0.910000,,0,-7.00,,0.020000,0,,4.50000000,-4.50000000,93.40000000,0,,1.220,,0.060000,-0.020000,,,,,b,,-0.090000,,4847.00,0.16000,0,,,,0.090000,,0,224.2016850,,0.57,,,,,,1,,0.490000,,,0.19,-0.16000,,7.00,,1.44,,,,8 UMi b,,,74.9009379,
11.21,,,-0.25,,,,Msini,,,,,-0.35,,,,0,0,0,3.30700,0,2.570000,,0,,,0.003000,0,,1.84000000,-1.94000000,1005.57000000,0,,1.170,,0.037000,-0.003000,,,,,b,,-0.025000,,4734.00,0.07800,0,,,,0.015000,,0,39.4243555,,0.81,,,,,,0,,2.104000,,,0.30,-0.06700,,,,1.23,,,,81 Cet b,,,-3.3963607,
11.00,,,-0.10,,,,Msini,,,,,-0.10,,,,0,0,0,3.20000,0,2.490000,,0,-18.00,,,0,,0.10000000,-0.10000000,181.40000000,0,,1.170,,0.027000,,,,,,b,,-0.026000,,4665.00,,0,,,,0.026000,,0,348.9745031,,0.10,,,,,,3,,0.700000,,,0.10,,,18.00,,1.40,,,,91 Aqr b,,,-9.0878076,
